original,apple
Aankoop­geschiedenis,Purchase History
Actividad en juegos,Gameplay Content
Activité physique,Fitness
Adresse e‑mail,Email Address
Adresse physique,Physical Address
Advertising Data,Advertising Data
Altre informazioni di contatto dell’utente,Other User Contact Info
Altre informazioni finanziarie,Other Financial Info
Altri contenuti dell’utente,Other User Content
Altri dati di diagnosi,Other Diagnostic Data
Altri dati sull’utilizzo,Other Usage Data
Altri tipi di dati,Other Data Types
Annonserings­data,Advertising Data
Användar‑ID,User ID
Apparaat-ID,Device ID
Assistance client,Customer Support
Assistenza clienti,Customer Support
Atención al cliente,Customer Support
Audio Data,Audio Data
Audio-Daten,Audio Data
Audiogegevens,Audio Data
Autre contenu utilisateur,Other User Content
Autres coordonnées de l’utilisateur,Other User Contact Info
Autres données d’utilisation,Other Usage Data
Autres données de diagnostic,Other Diagnostic Data
Autres informations financières,Other Financial Info
Autres types de données,Other Data Types
Benutzer-ID,User ID
Betaalgegevens,Payment Info
Betalnings­information,Payment Info
Bilder eller videor,Photos or Videos
Bläddrings­historik,Browsing History
Bonitäts­informationen,Credit Info
Browsegeschiedenis,Browsing History
Browser-Verlauf,Browsing History
Browsing History,Browsing History
Coarse Location,Coarse Location
Condición física,Fitness
Condicionamento físico,Fitness
Contacten,Contacts
Contactos,Contacts
Contacts,Contacts
Contatos,Contacts
Contatti,Contacts
Contenido de Gameplay,Gameplay Content
Contenu des expériences de jeu,Gameplay Content
Contenuti gameplay,Gameplay Content
Conteúdo de jogabilidade,Gameplay Content
Conteúdos de jogos,Gameplay Content
Correos electrónicos o mensajes de texto,Emails or Text Messages
Crash Data,Crash Data
Crash-Daten,Crash Data
Crash-gegevens,Crash Data
Credit Info,Credit Info
Cronologia degli acquisti,Purchase History
Cronologia delle ricerche,Search History
Cronologia di navigazione,Browsing History
Customer Support,Customer Support
Dados de áudio,Audio Data
Dados de desempenho,Performance Data
Dados de falhas,Crash Data
Dados de pagamento,Payment Info
Dados de publicidade,Advertising Data
Dati audio,Audio Data
Dati sui crash,Crash Data
Dati sulla pubblicità,Advertising Data
Dati sulle prestazioni,Performance Data
Datos de audio,Audio Data
Datos de errores,Crash Data
Datos de fallas,Crash Data
Datos de publicidad,Advertising Data
Datos de rendimiento,Performance Data
Datos publicitarios,Advertising Data
Datos sensibles,Sensitive Info
Device ID,Device ID
Dirección de correo electrónico,
Dirección física,
Données audio,
Données de performance,
Données publicitaires,
Données sur les pannes,Crash Data
E-Mail-Adresse,Email Address
E-mailadres,Email Address
E-Mails oder Textnachrichten,Emails or Text Messages
E-mails of sms-berichten,Emails or Text Messages
E-mails ou mensagens de texto,Emails or Text Messages
E‑mails ou mensagens de texto,Emails or Text Messages
E‑mails ou SMS,Emails or Text Messages
E‑post eller textmeddelande,Emails or Text Messages
E‑postadress,Email Address
Einkaufsverlauf,Purchase History
Email Address,Email Address
Email o messaggi,Emails or Text Messages
Emails or Text Messages,Emails or Text Messages
Emplacement approximatif,Coarse Location
Emplacement précis,Precise Location
Endereço de e-mail,Email Address
Endereço de e‑mail,Email Address
Endereço físico,Physical Address
Enhets-ID,Device ID
Exacte locatie,Precise Location
Exakt plats,Precise Location
Fitness,Fitness
Forma física,Fitness
Foto o video,Photos or Videos
Foto's of video's,Photos or Videos
Fotografias ou vídeos,Photos or Videos
Fotos o videos,Photos or Videos
Fotos oder Videos,Photos or Videos
Fotos ou vídeos,Photos or Videos
Fysiek adres,Physical Address
Fysisk adress,Physical Address
Gameplay Content,Gameplay Content
Gameplay-content,Gameplay Content
Gebruikers-ID,User ID
Genauer Standort,Precise Location
Geräte-ID,Device ID
Gesundheit,Health
Gezondheid,Health
Hälsa,Health
Health,Health
Historial de búsqueda,Search History
Historial de compras,Purchase History
Historial de navegación,Browsing History
Histórico de buscas,Search History
Histórico de compras,Purchase History
Histórico de navegação,Browsing History
Histórico de pesquisa,Search History
Historique d’achats,Purchase History
Historique de navigation,Browsing History
Historique de recherche,Search History
ID de usuario,User ID
ID del dispositivo,Device ID
ID del usuario,User ID
ID dispositivo,Device ID
ID do dispositivo,Device ID
ID do utilizador,User ID
ID utente,User ID
ID пользователя,User ID
ID устройства,Device ID
Identifiant de l’appareil,Device ID
Identifiant de l’utilisateur,User ID
Indirizzo email,Email Address
Indirizzo fisico,Physical Address
Información confidencial,Sensitive Info
Información de crédito,Credit Info
Información de facturación,Payment Info
Información de pago,Payment Info
Información sobre crédito,Credit Info
Informações confidenciais,Sensitive Info
Informações de crédito,Credit Info
Informações de pagamento,Payment Info
Informations de paiement,Payment Info
Informations sensibles,Sensitive Info
Informations sur le crédit,Credit Info
Informazioni di pagamento,Payment Info
Informazioni sensibili,Sensitive Info
Informazioni sul credito,Credit Info
Interacción con el producto,Product Interaction
Interações com o produto,Product Interaction
Interaction avec le produit,Product Interaction
